DMOS,PESQ,ViSQOL-S,ViSQOL-A
4.428571429,4.628282547,4.47950935,4.72573929
4.523809524,4.621906757,4.48204136,4.72850107
4.19047619,4.639005184,4.5610466,4.72887093
4.19047619,4.640114784,4.53443909,4.72685698
4.285714286,4.641438007,4.4871912,4.72770773
4.523809524,4.639522552,4.5000124,4.72930819
4.285714286,4.637300491,4.5602808,4.72763911
4.333333333,4.638088703,4.53500128,4.72813891
2.666666667,4.143386364,4.33041763,1.99070085
2.476190476,3.906241179,3.84311366,2.02219412
2.333333333,4.02645731,4.41884422,1.99516309
2.142857143,3.799947739,4.00569201,2.00088441
2.761904762,4.143277645,4.30378437,1.98350003
2.714285714,3.912181139,3.87838578,2.02119156
2.571428571,4.011669159,4.41723537,1.98789755
1.904761905,3.785383701,3.95547032,2.00079757
